Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675703216.1479764,811,61616,0,GPS1_Frame,42.337896,71.085815,58.9,7.0,671828.9462043286,4689400.513199181,1675703216.0,42,T
1675703217.1474824,812,61617,0,GPS1_Frame,42.33789,71.085813,59.5,7.0,671828.7977806511,4689399.842903364,1675703217.0,42,T
1675703218.1476467,813,61618,0,GPS1_Frame,42.337891,71.085816,60.1,7.0,671829.0422064848,4689399.960008134,1675703218.0,42,T
1675703219.147569,814,61619,0,GPS1_Frame,42.337888,71.085815,60.7,7.0,671828.9679946437,4689399.624860223,1675703219.0,42,T
1675703220.1480317,815,61620,0,GPS1_Frame,42.337887,71.085816,61.4,8.0,671829.053101647,4689399.515838655,1675703220.0,42,T
1675703221.1467853,816,61621,0,GPS1_Frame,42.337885,71.085816,61.8,8.0,671829.0585492278,4689399.293753916,1675703221.0,42,T
1675703222.1486053,817,61622,0,GPS1_Frame,42.337885,71.085817,61.8,8.0,671829.1409324403,4689399.295774719,1675703222.0,42,T
1675703223.1509326,818,61623,0,GPS1_Frame,42.337886,71.085819,61.7,8.0,671829.3029750753,4689399.410858694,1675703223.0,42,T
1675703224.1491563,819,61624,0,GPS1_Frame,42.33789,71.085823,61.5,8.0,671829.62161273,4689399.8631114,1675703224.0,42,T
1675703225.1459937,820,61625,0,GPS1_Frame,42.337897,71.085829,61.2,8.0,671830.0968453202,4689400.652532856,1675703225.0,42,T
1675703226.1459756,821,61626,0,GPS1_Frame,42.337898,71.08583,61.2,7.0,671830.176504712,4689400.765596041,1675703226.0,42,T
1675703227.1489222,822,61627,0,GPS1_Frame,42.3379,71.085831,61.2,8.0,671830.2534402861,4689400.989701597,1675703227.0,42,T
1675703228.1472414,823,61628,0,GPS1_Frame,42.337899,71.08583,61.8,8.0,671830.1737809026,4689400.876638412,1675703228.0,42,T
1675703229.1481123,824,61629,0,GPS1_Frame,42.337901,71.085833,61.6,8.0,671830.415482863,4689401.104785602,1675703229.0,42,T
1675703230.1456099,825,61630,0,GPS1_Frame,42.337908,71.08584,61.3,7.0,671830.9730984584,4689401.896227943,1675703230.0,42,T
1675703231.1492388,826,61631,0,GPS1_Frame,42.337915,71.085848,61.0,8.0,671831.6130970968,4689402.689691166,1675703231.0,42,T
1675703232.1479588,827,61632,0,GPS1_Frame,42.337923,71.085857,60.7,8.0,671832.3327549091,4689403.596217664,1675703232.0,42,T
1675703233.1497579,828,61633,0,GPS1_Frame,42.337932,71.085869,59.7,9.0,671833.2968381303,4689404.619849169,1675703233.0,42,T
1675703234.1498854,829,61634,0,GPS1_Frame,42.337942,71.085881,58.6,9.0,671834.2581971874,4689405.754523187,1675703234.0,42,T
1675703235.1489222,830,61635,0,GPS1_Frame,42.337948,71.085888,57.9,8.0,671834.8185358427,4689406.434923494,1675703235.0,42,T
1675703236.148329,831,61636,0,GPS1_Frame,42.337954,71.085896,57.4,8.0,671835.4612575136,4689407.117344726,1675703236.0,42,T
1675703237.1515572,832,61637,0,GPS1_Frame,42.337958,71.0859,57.0,8.0,671835.7798943932,4689407.569597739,1675703237.0,42,T
1675703238.1499426,833,61638,0,GPS1_Frame,42.337961,71.085905,56.6,8.0,671836.1836382574,4689407.912829282,1675703238.0,42,T
1675703239.149879,834,61639,0,GPS1_Frame,42.337965,71.085909,56.3,8.0,671836.5022750562,4689408.36508233,1675703239.0,42,T
1675703240.1494358,835,61640,0,GPS1_Frame,42.337969,71.085915,56.0,8.0,671836.985678021,4689408.821377189,1675703240.0,42,T
1675703241.149384,836,61641,0,GPS1_Frame,42.337973,71.08592,55.6,8.0,671837.3866978243,4689409.275651177,1675703241.0,42,T
1675703242.14953,837,61642,0,GPS1_Frame,42.337974,71.085921,55.5,8.0,671837.46635699,4689409.388714454,1675703242.0,42,T
1675703243.1444817,838,61643,0,GPS1_Frame,42.337976,71.085924,55.2,7.0,671837.708058414,4689409.616861914,1675703243.0,42,T
1675703244.1493497,839,61644,0,GPS1_Frame,42.337978,71.085927,55.0,7.0,671837.94975982,4689409.845009383,1675703244.0,42,T
1675703245.1504776,840,61645,0,GPS1_Frame,42.337982,71.085932,54.7,7.0,671838.3507795001,4689410.299283431,1675703245.0,42,T
1675703246.1489785,841,61646,0,GPS1_Frame,42.337983,71.085933,54.4,7.0,671838.430438638,4689410.41234672,1675703246.0,42,T
1675703247.1495867,842,61647,0,GPS1_Frame,42.337981,71.085932,54.4,8.0,671838.3535034471,4689410.18824106,1675703247.0,42,T
1675703248.1488292,843,61648,0,GPS1_Frame,42.337979,71.085929,54.4,8.0,671838.111802062,4689409.9600935755,1675703248.0,42,T
1675703249.1496098,844,61649,0,GPS1_Frame,42.33798,71.08593,54.1,7.0,671838.1914612121,4689410.073156861,1675703249.0,42,T
1675703250.1435041,845,61650,0,GPS1_Frame,42.337978,71.08593,53.7,6.0,671838.1969091007,4689409.851072117,1675703250.0,42,T
1675703251.1486669,846,61651,0,GPS1_Frame,42.337977,71.085931,53.2,6.0,671838.2820161378,4689409.742050658,1675703251.0,42,T
1675703252.1496522,847,61652,0,GPS1_Frame,42.337976,71.085931,53.0,8.0,671838.2847400833,4689409.631008287,1675703252.0,42,T
1675703253.1510606,848,61653,0,GPS1_Frame,42.33797,71.085924,53.2,8.0,671837.7244020308,4689408.950607683,1675703253.0,42,T
1675703254.14688,849,61654,0,GPS1_Frame,42.337965,71.085921,53.1,8.0,671837.4908723785,4689408.3893331075,1675703254.0,42,T
1675703255.1500964,850,61655,0,GPS1_Frame,42.337956,71.085911,53.4,8.0,671836.6915565437,4689407.3697427735,1675703255.0,42,T
1675703256.1508355,851,61656,0,GPS1_Frame,42.337954,71.08591,53.0,8.0,671836.6146212552,4689407.145637137,1675703256.0,42,T
1675703257.1446826,852,61657,0,GPS1_Frame,42.337953,71.085911,52.5,7.0,671836.6997282982,4689407.036615659,1675703257.0,42,T
1675703258.1460743,853,61658,0,GPS1_Frame,42.337952,71.085911,51.9,7.0,671836.7024522163,4689406.9255732875,1675703258.0,42,T
1675703259.146628,854,61659,0,GPS1_Frame,42.337951,71.085912,51.3,7.0,671836.7875592611,4689406.81655181,1675703259.0,42,T
1675703260.1450255,855,61660,0,GPS1_Frame,42.33795,71.085914,50.7,7.0,671836.9550494405,4689406.709551234,1675703260.0,42,T
1675703261.1427112,856,61661,0,GPS1_Frame,42.33795,71.085915,49.9,7.0,671837.0374325707,4689406.711572131,1675703261.0,42,T
1675703262.1460276,857,61662,0,GPS1_Frame,42.33795,71.085917,49.4,7.0,671837.2021988288,4689406.715613929,1675703262.0,42,T
1675703263.1467216,858,61663,0,GPS1_Frame,42.33795,71.085918,48.8,7.0,671837.2845819611,4689406.71763483,1675703263.0,42,T
