Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675802887.1055925,1,74887,0,GPS1_Frame,42.338897,-71.084688,15.0,8.0,328266.62472389336,4689509.389785676,1675802887.0,19,T
1675802888.0956066,2,74888,0,GPS1_Frame,42.338897,-71.084687,14.6,8.0,328266.70710577955,4689509.387765962,1675802888.0,19,T
1675802889.1028636,3,74889,0,GPS1_Frame,42.338896,-71.084687,14.6,8.0,328266.7043834119,4689509.276723582,1675802889.0,19,T
1675802890.0966334,4,74890,0,GPS1_Frame,42.338896,-71.084684,14.4,8.0,328266.95152907213,4689509.270664446,1675802890.0,19,T
1675802891.0941963,5,74891,0,GPS1_Frame,42.338897,-71.084683,14.2,8.0,328267.0366333242,4689509.3796871165,1675802891.0,19,T
1675802892.0959232,6,74892,0,GPS1_Frame,42.338897,-71.084683,14.1,8.0,328267.0366333242,4689509.3796871165,1675802892.0,19,T
1675802893.0937743,7,74893,0,GPS1_Frame,42.338897,-71.084682,14.0,8.0,328267.11901520827,4689509.377667407,1675802893.0,19,T
1675802894.0950487,8,74894,0,GPS1_Frame,42.338896,-71.08468,13.9,8.0,328267.281056622,4689509.262585613,1675802894.0,19,T
1675802895.093108,9,74895,0,GPS1_Frame,42.338895,-71.084678,13.7,8.0,328267.443098041,4689509.147503822,1675802895.0,19,T
1675802896.0970747,10,74896,0,GPS1_Frame,42.338894,-71.084675,13.4,8.0,328267.6875213532,4689509.030402333,1675802896.0,19,T
1675802897.101346,11,74897,0,GPS1_Frame,42.338892,-71.084671,13.0,8.0,328268.0116042201,4689508.800238776,1675802897.0,19,T
1675802898.096529,12,74898,0,GPS1_Frame,42.338891,-71.084669,13.0,8.0,328268.17364565935,4689508.685157003,1675802898.0,19,T
1675802899.0965395,13,74899,0,GPS1_Frame,42.33889,-71.084667,12.9,8.0,328268.3356871059,4689508.5700752335,1675802899.0,19,T
1675802900.0962138,14,74900,0,GPS1_Frame,42.338889,-71.084665,12.7,8.0,328268.4977285558,4689508.45499347,1675802900.0,19,T
1675802901.097837,15,74901,0,GPS1_Frame,42.338889,-71.084661,12.6,8.0,328268.8272561418,4689508.446914708,1675802901.0,19,T
1675802902.0968845,16,74902,0,GPS1_Frame,42.33889,-71.084657,12.2,8.0,328269.15950605366,4689508.549878342,1675802902.0,19,T
1675802903.09437,17,74903,0,GPS1_Frame,42.33889,-71.084654,12.1,8.0,328269.4066517392,4689508.543819294,1675802903.0,19,T
1675802904.0945678,18,74904,0,GPS1_Frame,42.33889,-71.084651,12.1,8.0,328269.65379742254,4689508.537760254,1675802904.0,19,T
1675802905.1015203,19,74905,0,GPS1_Frame,42.33889,-71.084651,12.4,8.0,328269.65379742254,4689508.537760254,1675802905.0,19,T
1675802906.1026843,20,74906,0,GPS1_Frame,42.338889,-71.08465,12.7,8.0,328269.73345700087,4689508.424698196,1675802906.0,19,T
1675802907.092922,21,74907,0,GPS1_Frame,42.338889,-71.084649,12.9,8.0,328269.8158388952,4689508.42267852,1675802907.0,19,T
1675802908.0959537,22,74908,0,GPS1_Frame,42.338889,-71.084648,13.1,8.0,328269.8982207916,4689508.420658844,1675802908.0,19,T
1675802909.0952435,23,74909,0,GPS1_Frame,42.338889,-71.084647,13.3,8.0,328269.9806026881,4689508.418639169,1675802909.0,19,T
1675802910.097289,24,74910,0,GPS1_Frame,42.338889,-71.084645,13.3,8.0,328270.1453664809,4689508.414599821,1675802910.0,19,T
1675802911.101515,25,74911,0,GPS1_Frame,42.338889,-71.084644,13.3,8.0,328270.22774837527,4689508.412580149,1675802911.0,19,T
1675802912.0956519,26,74912,0,GPS1_Frame,42.338889,-71.084644,13.3,8.0,328270.22774837527,4689508.412580149,1675802912.0,19,T
1675802913.1002064,27,74913,0,GPS1_Frame,42.338888,-71.084643,13.3,8.0,328270.30740796187,4689508.2995181,1675802913.0,19,T
1675802914.097019,28,74914,0,GPS1_Frame,42.338888,-71.084641,13.2,8.0,328270.4721717552,4689508.29547876,1675802914.0,19,T
1675802915.0975497,29,74915,0,GPS1_Frame,42.338888,-71.084641,13.0,8.0,328270.4721717552,4689508.29547876,1675802915.0,19,T
1675802916.096477,30,74916,0,GPS1_Frame,42.338887,-71.084642,13.0,8.0,328270.38706755126,4689508.186456052,1675802916.0,19,T
1675802917.093969,31,74917,0,GPS1_Frame,42.338887,-71.084641,12.9,8.0,328270.4694494481,4689508.184436382,1675802917.0,19,T
1675802918.0976892,32,74918,0,GPS1_Frame,42.338886,-71.084641,12.7,8.0,328270.4667271411,4689508.073394003,1675802918.0,19,T
1675802919.095604,33,74919,0,GPS1_Frame,42.338885,-71.084642,12.3,8.0,328270.38162293454,4689507.964371294,1675802919.0,19,T
1675802920.0964766,34,74920,0,GPS1_Frame,42.338886,-71.084641,12.1,8.0,328270.4667271411,4689508.073394003,1675802920.0,19,T
1675802921.093682,35,74921,0,GPS1_Frame,42.338886,-71.084641,11.9,8.0,328270.4667271411,4689508.073394003,1675802921.0,19,T
1675802922.094351,36,74922,0,GPS1_Frame,42.338887,-71.084641,11.7,8.0,328270.4694494481,4689508.184436382,1675802922.0,19,T
1675802923.0975158,37,74923,0,GPS1_Frame,42.338887,-71.084643,11.3,8.0,328270.3046856522,4689508.188475722,1675802923.0,19,T
1675802924.0962281,38,74924,0,GPS1_Frame,42.338886,-71.084644,11.0,8.0,328270.2195814422,4689508.079453014,1675802924.0,19,T
1675802925.0946448,39,74925,0,GPS1_Frame,42.338887,-71.084644,10.8,8.0,328270.2223037532,4689508.190495393,1675802925.0,19,T
1675802926.0935912,40,74926,0,GPS1_Frame,42.338887,-71.084644,10.5,8.0,328270.2223037532,4689508.190495393,1675802926.0,19,T
1675802927.0962303,41,74927,0,GPS1_Frame,42.338888,-71.084644,10.3,8.0,328270.22502606414,4689508.301537772,1675802927.0,19,T
1675802928.1095462,42,74928,0,GPS1_Frame,42.338889,-71.084645,10.2,8.0,328270.1453664809,4689508.414599821,1675802928.0,19,T
1675802929.0999484,43,74929,0,GPS1_Frame,42.33889,-71.084646,10.1,8.0,328270.06570689613,4689508.527661874,1675802929.0,19,T
1675802930.0998354,44,74930,0,GPS1_Frame,42.33889,-71.084647,9.9,8.0,328269.98332500306,4689508.529681548,1675802930.0,19,T
1675802931.0966833,45,74931,0,GPS1_Frame,42.338891,-71.084649,9.8,8.0,328269.8212835305,4689508.644763278,1675802931.0,19,T
1675802932.1006877,46,74932,0,GPS1_Frame,42.338891,-71.08465,9.7,8.0,328269.7389016388,4689508.646782955,1675802932.0,19,T
1675802933.0926418,47,74933,0,GPS1_Frame,42.338892,-71.08465,9.7,8.0,328269.7416239579,4689508.757825335,1675802933.0,19,T
1675802934.0972807,48,74934,0,GPS1_Frame,42.338893,-71.084651,9.8,8.0,328269.6619643837,4689508.870887389,1675802934.0,19,T
1675802935.0952706,49,74935,0,GPS1_Frame,42.338893,-71.084653,9.7,8.0,328269.49720060127,4689508.874926749,1675802935.0,19,T
1675802936.0960968,50,74936,0,GPS1_Frame,42.338894,-71.084653,9.7,8.0,328269.4999229243,4689508.985969128,1675802936.0,19,T
1675802937.094756,51,74937,0,GPS1_Frame,42.338894,-71.084653,9.6,8.0,328269.4999229243,4689508.985969128,1675802937.0,19,T
1675802938.109511,52,74938,0,GPS1_Frame,42.338894,-71.084653,9.6,8.0,328269.4999229243,4689508.985969128,1675802938.0,19,T
1675802939.0939538,53,74939,0,GPS1_Frame,42.338895,-71.084654,9.6,8.0,328269.42026336095,4689509.0990311885,1675802939.0,19,T
1675802940.0969434,54,74940,0,GPS1_Frame,42.338896,-71.084655,9.7,8.0,328269.34060379805,4689509.212093249,1675802940.0,19,T
1675802941.0967472,55,74941,0,GPS1_Frame,42.338898,-71.084655,9.7,8.0,328269.34604844986,4689509.434178008,1675802941.0,19,T
1675802942.0973196,56,74942,0,GPS1_Frame,42.338898,-71.084656,9.6,8.0,328269.2636665652,4689509.436197691,1675802942.0,19,T
1675802943.0934448,57,74943,0,GPS1_Frame,42.338899,-71.084656,9.6,8.0,328269.2663888924,4689509.547240068,1675802943.0,19,T
1675802944.0927832,58,74944,0,GPS1_Frame,42.338899,-71.084657,9.6,8.0,328269.184007009,4689509.549259753,1675802944.0,19,T
1675802945.0972097,59,74945,0,GPS1_Frame,42.3389,-71.084656,9.5,8.0,328269.26911121974,4689509.658282448,1675802945.0,19,T
1675802946.096288,60,74946,0,GPS1_Frame,42.3389,-71.084655,9.4,8.0,328269.3514931018,4689509.656262765,1675802946.0,19,T
1675802947.0975697,61,74947,0,GPS1_Frame,42.3389,-71.084655,9.2,8.0,328269.3514931018,4689509.656262765,1675802947.0,19,T
1675802948.101551,62,74948,0,GPS1_Frame,42.338899,-71.084655,9.0,8.0,328269.34877077583,4689509.545220385,1675802948.0,19,T
1675802949.0946267,63,74949,0,GPS1_Frame,42.338899,-71.084655,8.8,8.0,328269.34877077583,4689509.545220385,1675802949.0,19,T
1675802950.0974138,64,74950,0,GPS1_Frame,42.338899,-71.084654,8.7,8.0,328269.43115265924,4689509.543200703,1675802950.0,19,T
1675802951.0950959,65,74951,0,GPS1_Frame,42.338898,-71.084653,8.5,8.0,328269.51081221714,4689509.430138644,1675802951.0,19,T
1675802952.106,66,74952,0,GPS1_Frame,42.338898,-71.084653,8.3,8.0,328269.51081221714,4689509.430138644,1675802952.0,19,T
1675802953.096252,67,74953,0,GPS1_Frame,42.338898,-71.084652,8.2,8.0,328269.5931941039,4689509.428118965,1675802953.0,19,T
1675802954.0971873,68,74954,0,GPS1_Frame,42.338897,-71.084652,8.0,8.0,328269.59047178196,4689509.317076584,1675802954.0,19,T
1675802955.0936995,69,74955,0,GPS1_Frame,42.338897,-71.084652,7.9,8.0,328269.59047178196,4689509.317076584,1675802955.0,19,T
1675802956.097042,70,74956,0,GPS1_Frame,42.338897,-71.084651,7.7,8.0,328269.6728536659,4689509.315056906,1675802956.0,19,T
1675802957.0936909,71,74957,0,GPS1_Frame,42.338896,-71.084651,7.6,8.0,328269.6701313452,4689509.204014528,1675802957.0,19,T
1675802958.098318,72,74958,0,GPS1_Frame,42.338896,-71.08465,7.5,8.0,328269.7525132346,4689509.201994848,1675802958.0,19,T
1675802959.0997822,73,74959,0,GPS1_Frame,42.338896,-71.084649,7.4,8.0,328269.83489511977,4689509.199975172,1675802959.0,19,T
1675802960.0982533,74,74960,0,GPS1_Frame,42.338897,-71.084649,7.4,8.0,328269.8376174378,4689509.311017551,1675802960.0,19,T
1675802961.0965018,75,74961,0,GPS1_Frame,42.338897,-71.084648,7.3,8.0,328269.9199993238,4689509.308997875,1675802961.0,19,T
1675802962.0962758,76,74962,0,GPS1_Frame,42.338897,-71.084647,7.1,8.0,328270.00238120975,4689509.3069782,1675802962.0,19,T
1675802963.0956209,77,74963,0,GPS1_Frame,42.338898,-71.084647,6.9,8.0,328270.00510352524,4689509.418020579,1675802963.0,19,T
1675802964.0980353,78,74964,0,GPS1_Frame,42.338898,-71.084646,6.7,8.0,328270.08748540777,4689509.4160009045,1675802964.0,19,T
1675802965.0955584,79,74965,0,GPS1_Frame,42.338898,-71.084645,6.5,8.0,328270.1698672945,4689509.413981232,1675802965.0,19,T
1675802966.095832,80,74966,0,GPS1_Frame,42.338898,-71.084645,6.2,8.0,328270.1698672945,4689509.413981232,1675802966.0,19,T
1675802967.0969858,81,74967,0,GPS1_Frame,42.338898,-71.084644,5.9,8.0,328270.2522491771,4689509.411961559,1675802967.0,19,T
1675802968.097744,82,74968,0,GPS1_Frame,42.338897,-71.084644,5.6,8.0,328270.2495268656,4689509.300919181,1675802968.0,19,T
1675802969.1083677,83,74969,0,GPS1_Frame,42.338897,-71.084644,5.5,8.0,328270.2495268656,4689509.300919181,1675802969.0,19,T
1675802970.1015124,84,74970,0,GPS1_Frame,42.338897,-71.084643,5.2,8.0,328270.3319087515,4689509.298899509,1675802970.0,19,T
1675802971.0955648,85,74971,0,GPS1_Frame,42.338897,-71.084643,5.0,8.0,328270.3319087515,4689509.298899509,1675802971.0,19,T
1675802972.1068335,86,74972,0,GPS1_Frame,42.338897,-71.084643,4.7,8.0,328270.3319087515,4689509.298899509,1675802972.0,19,T
1675802973.0929637,87,74973,0,GPS1_Frame,42.338898,-71.084642,4.3,8.0,328270.4170129464,4689509.407922218,1675802973.0,19,T
1675802974.0971713,88,74974,0,GPS1_Frame,42.338898,-71.084642,4.2,8.0,328270.4170129464,4689509.407922218,1675802974.0,19,T
1675802975.0955503,89,74975,0,GPS1_Frame,42.338898,-71.084642,4.1,8.0,328270.4170129464,4689509.407922218,1675802975.0,19,T
1675802976.0982547,90,74976,0,GPS1_Frame,42.338898,-71.084642,4.0,8.0,328270.4170129464,4689509.407922218,1675802976.0,19,T
