Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675701960.1035845,1,60360,0,GPS1_Frame,42.33918,71.084911,9.7,9.0,671750.9759217394,4689541.265200489,1675701960.0,42,T
1675701961.0995078,2,60361,0,GPS1_Frame,42.33918,71.084912,9.6,9.0,671751.0583032547,4689541.267220423,1675701961.0,42,T
1675701962.1017203,3,60362,0,GPS1_Frame,42.33918,71.084912,9.5,9.0,671751.0583032547,4689541.267220423,1675701962.0,42,T
1675701963.1037757,4,60363,0,GPS1_Frame,42.33918,71.084913,9.5,9.0,671751.140684772,4689541.269240356,1675701963.0,42,T
1675701964.10032,5,60364,0,GPS1_Frame,42.339179,71.084913,9.5,8.0,671751.1434074499,4689541.158197972,1675701964.0,42,T
1675701965.1006134,6,60365,0,GPS1_Frame,42.339179,71.084913,9.4,9.0,671751.1434074499,4689541.158197972,1675701965.0,42,T
1675701966.1042233,7,60366,0,GPS1_Frame,42.339178,71.084915,9.1,8.0,671751.3108931658,4689541.051195458,1675701966.0,42,T
1675701967.1009316,8,60367,0,GPS1_Frame,42.339178,71.084916,9.0,8.0,671751.3932746878,4689541.053215395,1675701967.0,42,T
1675701968.1002483,9,60368,0,GPS1_Frame,42.339178,71.084916,8.9,8.0,671751.3932746878,4689541.053215395,1675701968.0,42,T
1675701969.1035304,10,60369,0,GPS1_Frame,42.339177,71.084917,8.9,9.0,671751.4783788888,4689540.944192947,1675701969.0,42,T
1675701970.1006417,11,60370,0,GPS1_Frame,42.339177,71.084917,8.9,9.0,671751.4783788888,4689540.944192947,1675701970.0,42,T
1675701971.1039906,12,60371,0,GPS1_Frame,42.339177,71.084917,8.9,9.0,671751.4783788888,4689540.944192947,1675701971.0,42,T
1675701972.0976582,13,60372,0,GPS1_Frame,42.339176,71.084917,9.1,9.0,671751.4811015718,4689540.833150561,1675701972.0,42,T
1675701973.102732,14,60373,0,GPS1_Frame,42.339176,71.084916,9.1,9.0,671751.3987200514,4689540.831130623,1675701973.0,42,T
1675701974.1024694,15,60374,0,GPS1_Frame,42.339176,71.084915,9.1,9.0,671751.3163385267,4689540.829110686,1675701974.0,42,T
1675701975.1030552,16,60375,0,GPS1_Frame,42.339176,71.084915,9.1,9.0,671751.3163385267,4689540.829110686,1675701975.0,42,T
1675701976.1009629,17,60376,0,GPS1_Frame,42.339176,71.084914,9.1,9.0,671751.2339570062,4689540.82709075,1675701976.0,42,T
1675701977.1053452,18,60377,0,GPS1_Frame,42.339177,71.084913,9.1,9.0,671751.1488528058,4689540.936113201,1675701977.0,42,T
1675701978.1043465,19,60378,0,GPS1_Frame,42.339177,71.084912,9.1,9.0,671751.0664712846,4689540.934093267,1675701978.0,42,T
1675701979.0998948,20,60379,0,GPS1_Frame,42.339177,71.084912,9.1,9.0,671751.0664712846,4689540.934093267,1675701979.0,42,T
