Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1678136415.2803347,2061,1678136415,261237859,,2,/imu_driver,Current time 1678136415 258290290,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.2878294,2062,1678136415,286386728,,2,/imu_driver,Current time 1678136415 283277750,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.3118572,2063,1678136415,311204671,,2,/imu_driver,Current time 1678136415 308230876,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.3376124,2064,1678136415,336206197,,2,/imu_driver,Current time 1678136415 333326101,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.3620918,2065,1678136415,361310958,,2,/imu_driver,Current time 1678136415 358301162,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.3876073,2066,1678136415,386152744,,2,/imu_driver,Current time 1678136415 383291244,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.4122999,2067,1678136415,411012887,,2,/imu_driver,Current time 1678136415 408173322,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.4376361,2068,1678136415,436226367,,2,/imu_driver,Current time 1678136415 433294773,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.4625833,2069,1678136415,461190700,,2,/imu_driver,Current time 1678136415 458272695,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.4866962,2070,1678136415,486069679,,2,/imu_driver,Current time 1678136415 483222007,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.512069,2071,1678136415,511356592,,2,/imu_driver,Current time 1678136415 508247613,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.537557,2072,1678136415,536224365,,2,/imu_driver,Current time 1678136415 533267021,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.5622828,2073,1678136415,561102390,,2,/imu_driver,Current time 1678136415 558172702,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.587215,2074,1678136415,586070299,,2,/imu_driver,Current time 1678136415 583224773,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.6118546,2075,1678136415,611240386,,2,/imu_driver,Current time 1678136415 608181476,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.636901,2076,1678136415,636180162,,2,/imu_driver,Current time 1678136415 633157730,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.6625159,2077,1678136415,661069393,,2,/imu_driver,Current time 1678136415 658174753,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.6869178,2078,1678136415,686170101,,2,/imu_driver,Current time 1678136415 683223724,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.7115846,2079,1678136415,710856199,,2,/imu_driver,Current time 1678136415 707981586,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.7368393,2080,1678136415,736107349,,2,/imu_driver,Current time 1678136415 733165979,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.7616956,2081,1678136415,761014938,,2,/imu_driver,Current time 1678136415 758114099,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.7866611,2082,1678136415,785940408,,2,/imu_driver,Current time 1678136415 783155679,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.8115344,2083,1678136415,810821533,,2,/imu_driver,Current time 1678136415 807951450,driver.py,driver,56,"['/rosout', '/imu']"
1678136415.836688,2084,1678136415,835971117,,2,/imu_driver,Current time 1678136415 833146572,driver.py,driver,56,"['/rosout', '/imu']"
