Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1678937272.488406,4,1678937272,486886590,,2,/record_1678937272465263911,Subscribing to /gnss,/tmp/binarydeb/ros-noetic-rosbag-1.15.15/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1678937272.7335927,38445,1678937272,730189800,,2,/imu_driver,Current time 1678937272 727392196,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.7556596,38446,1678937272,754964113,,2,/imu_driver,Current time 1678937272 752357721,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.780872,38447,1678937272,780219316,,2,/imu_driver,Current time 1678937272 777309417,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.8056839,38448,1678937272,805065870,,2,/imu_driver,Current time 1678937272 802223205,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.8308315,38449,1678937272,830124378,,2,/imu_driver,Current time 1678937272 827246427,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.8558176,38450,1678937272,855040788,,2,/imu_driver,Current time 1678937272 852267026,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.8808212,38451,1678937272,880167484,,2,/imu_driver,Current time 1678937272 877291202,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.9061756,38452,1678937272,905519723,,2,/imu_driver,Current time 1678937272 902201414,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.9314237,38453,1678937272,930057048,,2,/imu_driver,Current time 1678937272 927184104,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.9571126,38454,1678937272,955750703,,2,/imu_driver,Current time 1678937272 952900171,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.9813466,38455,1678937272,980239868,,2,/imu_driver,Current time 1678937272 977296829,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.005697,38456,1678937273,5073070,,2,/imu_driver,Current time 1678937273 2183675,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.0310307,38457,1678937273,30428409,,2,/imu_driver,Current time 1678937273 27475118,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.056351,38458,1678937273,55613040,,2,/imu_driver,Current time 1678937273 52745819,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.0820427,38459,1678937273,80612659,,2,/imu_driver,Current time 1678937273 77337026,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.1058335,38460,1678937273,105133056,,2,/imu_driver,Current time 1678937273 102237701,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.1307454,38461,1678937273,130128383,,2,/imu_driver,Current time 1678937273 127244472,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.1560843,38462,1678937273,155437707,,2,/imu_driver,Current time 1678937273 152615070,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.1807814,38463,1678937273,180127382,,2,/imu_driver,Current time 1678937273 177352428,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.2054207,38464,1678937273,204776525,,2,/imu_driver,Current time 1678937273 202096462,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.230493,38465,1678937273,229871988,,2,/imu_driver,Current time 1678937273 227200984,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.2564814,38466,1678937273,255148649,,2,/imu_driver,Current time 1678937273 252224206,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.2807868,38467,1678937273,280132055,,2,/imu_driver,Current time 1678937273 277347803,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.306299,38468,1678937273,304849386,,2,/imu_driver,Current time 1678937273 302102565,imu_driver.py,driver,56,"['/imu', '/rosout']"
