Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1678937272.7310455,38442,1678937272,730189800,,2,/imu_driver,Current time 1678937272 727392196,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.7559457,38443,1678937272,754964113,,2,/imu_driver,Current time 1678937272 752357721,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.7812643,38444,1678937272,780219316,,2,/imu_driver,Current time 1678937272 777309417,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.8060944,38445,1678937272,805065870,,2,/imu_driver,Current time 1678937272 802223205,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.83098,38446,1678937272,830124378,,2,/imu_driver,Current time 1678937272 827246427,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.856053,38447,1678937272,855040788,,2,/imu_driver,Current time 1678937272 852267026,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.8811445,38448,1678937272,880167484,,2,/imu_driver,Current time 1678937272 877291202,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.9065547,38449,1678937272,905519723,,2,/imu_driver,Current time 1678937272 902201414,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.9309945,38450,1678937272,930057048,,2,/imu_driver,Current time 1678937272 927184104,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.9567142,38451,1678937272,955750703,,2,/imu_driver,Current time 1678937272 952900171,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937272.9818747,38452,1678937272,980239868,,2,/imu_driver,Current time 1678937272 977296829,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.0066302,38453,1678937273,5073070,,2,/imu_driver,Current time 1678937273 2183675,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.0313945,38454,1678937273,30428409,,2,/imu_driver,Current time 1678937273 27475118,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.0566125,38455,1678937273,55613040,,2,/imu_driver,Current time 1678937273 52745819,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.0824146,38456,1678937273,80612659,,2,/imu_driver,Current time 1678937273 77337026,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.1068113,38457,1678937273,105133056,,2,/imu_driver,Current time 1678937273 102237701,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.1310236,38458,1678937273,130128383,,2,/imu_driver,Current time 1678937273 127244472,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.1570287,38459,1678937273,155437707,,2,/imu_driver,Current time 1678937273 152615070,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.1811025,38460,1678937273,180127382,,2,/imu_driver,Current time 1678937273 177352428,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.2063508,38461,1678937273,204776525,,2,/imu_driver,Current time 1678937273 202096462,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.2308567,38462,1678937273,229871988,,2,/imu_driver,Current time 1678937273 227200984,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.2561522,38463,1678937273,255148649,,2,/imu_driver,Current time 1678937273 252224206,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.281733,38464,1678937273,280132055,,2,/imu_driver,Current time 1678937273 277347803,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.306341,38465,1678937273,304849386,,2,/imu_driver,Current time 1678937273 302102565,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.3307931,38466,1678937273,329942464,,2,/imu_driver,Current time 1678937273 327214002,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.3565814,38467,1678937273,354928493,,2,/imu_driver,Current time 1678937273 352162122,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.3810601,38468,1678937273,380167007,,2,/imu_driver,Current time 1678937273 377246618,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.4057903,38469,1678937273,404747247,,2,/imu_driver,Current time 1678937273 402075052,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.4318619,38470,1678937273,430137872,,2,/imu_driver,Current time 1678937273 427310228,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.45617,38471,1678937273,454991102,,2,/imu_driver,Current time 1678937273 452158927,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.4811287,38472,1678937273,480169296,,2,/imu_driver,Current time 1678937273 477330923,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.506016,38473,1678937273,504979848,,2,/imu_driver,Current time 1678937273 502145528,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.530577,38474,1678937273,529617547,,2,/imu_driver,Current time 1678937273 526928663,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.5570807,38475,1678937273,555315494,,2,/imu_driver,Current time 1678937273 552619934,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.5806808,38476,1678937273,579732656,,2,/imu_driver,Current time 1678937273 577088356,imu_driver.py,driver,56,"['/imu', '/rosout']"
1678937273.6059537,38477,1678937273,604947805,,2,/imu_driver,Current time 1678937273 602096557,imu_driver.py,driver,56,"['/imu', '/rosout']"
