Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675803546.095675,625,75546,0,GPS1_Frame,42.338636,-71.084517,6.0,8.0,328280.00154811994,4689480.06236861,1675803546.0,19,T
1675803547.0887897,626,75547,0,GPS1_Frame,42.338636,-71.084516,6.3,7.0,328280.0839303443,4689480.060349064,1675803547.0,19,T
1675803548.0936832,627,75548,0,GPS1_Frame,42.338639,-71.084522,6.5,8.0,328279.59780340246,4689480.405593478,1675803548.0,19,T
1675803549.0952344,628,75549,0,GPS1_Frame,42.338646,-71.084532,7.3,8.0,328278.7930362423,4689481.203085659,1675803549.0,19,T
1675803550.0957305,629,75550,0,GPS1_Frame,42.338653,-71.084541,7.5,8.0,328278.0706514717,4689481.99855837,1675803550.0,19,T
1675803551.0965889,630,75551,0,GPS1_Frame,42.338663,-71.084549,7.8,8.0,328277.4388155859,4689483.125138705,1675803551.0,19,T
1675803552.0968568,631,75552,0,GPS1_Frame,42.338671,-71.084557,8.2,8.0,328276.80153554236,4689484.029634355,1675803552.0,19,T
1675803553.1016052,632,75553,0,GPS1_Frame,42.338678,-71.084566,8.3,8.0,328276.0791513006,4689484.8251072895,1675803553.0,19,T
1675803554.091681,633,75554,0,GPS1_Frame,42.338684,-71.084575,8.1,8.0,328275.35404501564,4689485.509537929,1675803554.0,19,T
1675803555.0962543,634,75555,0,GPS1_Frame,42.33869,-71.084585,8.1,8.0,328274.5465567191,4689486.19598826,1675803555.0,19,T
1675803556.095313,635,75556,0,GPS1_Frame,42.338694,-71.084593,7.7,8.0,328273.8983884093,4689486.656314696,1675803556.0,19,T
1675803557.0952852,636,75557,0,GPS1_Frame,42.338702,-71.084598,7.9,8.0,328273.50825558114,4689487.554751815,1675803557.0,19,T
1675803558.0922925,637,75558,0,GPS1_Frame,42.338706,-71.084603,7.2,8.0,328273.1072338711,4689488.009019457,1675803558.0,19,T
1675803559.1015167,638,75559,0,GPS1_Frame,42.338707,-71.084608,6.7,8.0,328272.6980454483,4689488.130159998,1675803559.0,19,T
1675803560.094307,639,75560,0,GPS1_Frame,42.338716,-71.084616,7.1,8.0,328272.0634887656,4689489.145698494,1675803560.0,19,T
1675803561.094556,640,75561,0,GPS1_Frame,42.338721,-71.084623,7.4,8.0,328271.5004252839,4689489.7150479,1675803561.0,19,T
